,index,user,group,task,phase,time,type,sourcePath,targetPath,sourceRange,targetRange,time_dup
1,1,channel,canvas,1,0,2023-01-24 16:20:00.568768,mark,,code/lib/styled_widgets/buttons/styled_share_btn.dart (cement),,36:9-36:45,2023-01-24T16:20:00.568768
2,2,channel,canvas,1,0,2023-01-24 16:20:06.480130,mark,,code/lib/styled_widgets/buttons/styled_share_btn.dart (cement),,19:2-23:5,2023-01-24T16:20:06.480130
3,3,channel,canvas,1,0,2023-01-24 16:20:18.953112,define,code/lib/styled_widgets/buttons/styled_share_btn.dart (cement),code/lib/commands/app/copy_share_link_command.dart (NO_NODE_YET),22:29-22:32,14:15-14:18,2023-01-24T16:20:18.953112
4,4,channel,canvas,1,0,2023-01-24 16:20:44.888516,mark,,code/lib/commands/app/copy_share_link_command.dart (crowberry),,14:2-33:3,2023-01-24T16:20:44.888516
5,5,channel,canvas,1,1,2023-01-24 16:21:33.859546,define,code/lib/commands/app/copy_share_link_command.dart (crowberry),code/lib/routing/app_link.dart (NO_NODE_YET),21:10-21:20,47:9-47:19,2023-01-24T16:21:33.859546
6,6,channel,canvas,1,1,2023-01-24 16:22:18.101178,mark,,code/lib/routing/app_link.dart (grapple),,53:3-53:63,2023-01-24T16:22:18.101178
7,7,channel,canvas,1,1,2023-01-24 16:22:48.899157,mark,,code/lib/commands/app/copy_share_link_command.dart (crowberry),,16:3-21:23,2023-01-24T16:22:48.899157
8,8,channel,canvas,2,0,2023-01-24 16:23:45.196507,tree,,code/lib/styled_widgets/context_menus/book_context_menu.dart (NO_NODE_YET),,,2023-01-24T16:23:45.196507
9,9,channel,canvas,2,0,2023-01-24 16:24:31.718763,tree,,code/lib/styled_widgets/dialogs/delete_dialog.dart (NO_NODE_YET),,,2023-01-24T16:24:31.718763
10,10,channel,canvas,2,0,2023-01-24 16:25:05.600282,tree,,code/lib/commands/books/delete_page_command.dart (NO_NODE_YET),,,2023-01-24T16:25:05.600282
11,11,channel,canvas,2,0,2023-01-24 16:26:13.009420,tree,,code/lib/views/editor_page/draggable_page_menu/draggable_page_menu.dart (NO_NODE_YET),,,2023-01-24T16:26:13.009420
12,12,channel,canvas,2,0,2023-01-24 16:26:40.215276,move-node,,code/lib/commands/books/delete_page_command.dart (meeting),,,2023-01-24T16:26:40.215276
13,13,channel,canvas,2,0,2023-01-24 16:26:41.697496,move-node,,code/lib/commands/books/delete_page_command.dart (meeting),,,2023-01-24T16:26:41.697496
14,14,channel,canvas,2,0,2023-01-24 16:27:04.668066,tree,,code/lib/views/editor_page/draggable_page_menu/draggable_page_title_btn.dart (NO_NODE_YET),,,2023-01-24T16:27:04.668066
15,15,channel,canvas,2,0,2023-01-24 16:27:23.152946,mark,,code/lib/views/editor_page/draggable_page_menu/draggable_page_title_btn.dart (widget),,129:3-129:70,2023-01-24T16:27:23.152946
16,16,channel,canvas,2,0,2023-01-24 16:27:25.278941,mark,,code/lib/views/editor_page/draggable_page_menu/draggable_page_title_btn.dart (widget),,122:10-122:77,2023-01-24T16:27:25.278941
17,17,channel,canvas,2,0,2023-01-24 16:27:31.184810,move-node,,code/lib/commands/books/delete_page_command.dart (meeting),,,2023-01-24T16:27:31.184810
18,18,channel,canvas,2,0,2023-01-24 16:28:44.798467,mark,,code/lib/commands/books/delete_page_command.dart (meeting),,33:7-33:68,2023-01-24T16:28:44.798467
19,19,channel,canvas,2,1,2023-01-24 16:30:40.419220,mark,,code/lib/commands/books/delete_page_command.dart (meeting),,28:6-34:8,2023-01-24T16:30:40.419220
20,20,channel,canvas,3,0,2023-01-24 16:34:33.032708,tree,,code/lib/services/firebase/firebase_service.dart (NO_NODE_YET),,,2023-01-24T16:34:33.032708
21,21,channel,canvas,3,0,2023-01-24 16:34:44.049404,tree,,code/lib/services/firebase/firebase_service_firedart.dart (NO_NODE_YET),,,2023-01-24T16:34:44.049404
22,22,channel,canvas,3,0,2023-01-24 16:34:58.554745,tree,,code/lib/services/firebase/firebase_service.dart (mantis),,,2023-01-24T16:34:58.554745
23,23,channel,canvas,3,0,2023-01-24 16:35:15.257059,tree,,code/lib/services/firebase/firebase_service.dart (mantis),,,2023-01-24T16:35:15.257059
