,user,correct_trials,trial_ratio,span_score,cum_score,cum_ratio,correct_trials_3,correct_trials_4,correct_trials_5,correct_trials_6,correct_trials_7
0,aqua,14,0.93,7.0,68.0,0.91,3,3,3,3,2.0
1,beluga,13,0.87,7.0,68.0,0.91,3,3,3,2,2.0
2,binder,13,0.87,7.0,65.0,0.87,3,3,3,2,2.0
3,bread,12,0.8,6.0,62.0,0.83,3,3,3,3,0.0
4,cement,13,0.87,7.0,71.0,0.95,3,3,3,3,1.0
5,channel,12,0.8,7.0,68.0,0.91,3,3,2,2,2.0
6,cloudy,11,0.73,7.0,66.0,0.88,3,3,2,2,1.0
7,drive,12,0.8,7.0,67.0,0.89,3,3,2,3,1.0
8,energy,15,1.0,7.0,75.0,1.0,3,3,3,3,3.0
9,epoch,12,0.8,7.0,69.0,0.92,3,3,3,2,1.0
10,frame,12,0.8,7.0,63.0,0.84,3,3,2,2,2.0
11,handshake,10,0.67,6.0,46.0,0.61,3,3,2,2,0.0
12,holiday,12,0.8,7.0,66.0,0.88,3,3,1,2,3.0
13,noon,12,0.8,6.0,65.0,0.87,3,3,3,3,0.0
14,north,13,0.87,7.0,71.0,0.95,3,3,2,2,3.0
15,outfit,13,0.87,7.0,65.0,0.87,3,3,3,2,2.0
16,owl,13,0.87,7.0,71.0,0.95,3,3,3,3,1.0
17,patch,14,0.93,7.0,71.0,0.95,3,3,3,3,2.0
18,soup,14,0.93,7.0,68.0,0.91,3,3,3,3,2.0
19,valley,15,1.0,7.0,75.0,1.0,3,3,3,3,3.0
