,Unnamed: 0,Unnamed: 0.1,user,group,task,phase,start,end,duration
0,6,8.0,cloudy,control,1,0,2022-04-17 12:26:43.329454,2022-04-17 13:27:59.546460,61.27
1,7,9.0,cloudy,control,1,1,2022-04-17 13:27:59.547600,2022-04-17 13:46:39.926979,18.67
2,8,10.0,cloudy,control,2,0,2022-04-17 13:46:39.927656,2022-04-17 14:02:08.735138,15.48
3,9,11.0,cloudy,control,2,1,2022-04-17 14:02:08.735817,2022-04-17 14:30:48.064856,28.66
4,10,12.0,cloudy,control,3,0,2022-04-17 14:30:48.065954,2022-04-17 14:34:38.119740,3.83
5,11,13.0,cloudy,control,3,1,2022-04-17 14:34:38.120106,2022-04-17 14:40:09.308249,5.52
6,12,15.0,outfit,control,1,0,2022-04-16 14:45:27.816881,2022-04-16 14:56:57.837396,11.5
7,13,16.0,outfit,control,1,1,2022-04-16 14:56:57.838136,2022-04-16 14:58:00.834376,1.05
8,14,17.0,outfit,control,2,0,2022-04-16 14:58:00.834923,2022-04-16 15:01:14.444954,3.23
9,15,18.0,outfit,control,2,1,2022-04-16 15:01:14.445348,2022-04-16 15:05:29.813615,4.26
10,16,19.0,outfit,control,3,0,2022-04-16 15:05:29.814129,2022-04-16 15:11:41.616419,6.2
11,17,20.0,outfit,control,3,1,2022-04-16 15:11:41.616773,2022-04-16 15:24:17.998861,12.61
12,18,22.0,holiday,canvas,1,0,2022-04-17 11:11:03.605485,2022-04-17 11:25:09.463404,14.1
13,19,23.0,holiday,canvas,1,1,2022-04-17 11:25:09.464100,2022-04-17 11:30:29.261910,5.33
14,20,24.0,holiday,canvas,2,0,2022-04-17 11:30:29.262583,2022-04-17 11:40:49.401413,10.34
15,21,25.0,holiday,canvas,2,1,2022-04-17 11:40:49.401724,2022-04-17 11:45:38.815385,4.82
16,22,26.0,holiday,canvas,3,0,2022-04-17 11:45:38.815929,2022-04-17 11:50:15.182561,4.61
17,23,27.0,holiday,canvas,3,1,2022-04-17 11:50:15.183114,2022-04-17 11:53:25.661433,3.17
18,24,29.0,north,control,1,0,2022-04-16 23:05:58.425583,2022-04-16 23:06:38.453182,0.67
19,25,30.0,north,control,1,1,2022-04-16 23:06:38.453867,2022-04-16 23:30:23.903327,23.76
20,26,31.0,north,control,2,0,2022-04-16 23:30:23.904142,2022-04-16 23:36:18.364158,5.91
21,27,32.0,north,control,2,1,2022-04-16 23:36:18.364482,2022-04-17 17:18:26.618175,1062.14
22,28,33.0,north,control,3,0,2022-04-17 17:18:26.619836,2022-04-17 17:39:01.381485,20.58
